#separator:tab
#html:true
#notetype:Basic
#deck:00 Reading Room::Terms
#tags:reading-room-terms
#columns:Front	Back
phlebotomy	<b>say:</b> fluh-BOT-uh-mee /fləˈbɑtəmi/<br><b>def:</b> Drawing blood from a vein — usually with a needle, so it can be tested in a lab or given as treatment. It’s the blood-draw step at the clinic (“getting your bloods done”).<br>🔊 phlebotomy = “f” + LOBOTOMY: /fləˈbɑtəmi/ is exactly an f in front of lobotomy /ləˈbɑtəmi/ — a perfect match across the whole back of the word. “Blood flows” supplies the leading fl- (and the blood).<br>📖 a nurse draws your blood; you watch it flow out of your vein<br>🎭 Blood flows during a lobotomy, thus a nurse draws it out.
lobe	<b>say:</b> LOHB /loʊb/<br><b>def:</b> A soft, rounded part that sticks out or forms one section of something — especially a body part. The earlobe is the soft fleshy bit hanging at the bottom of your ear; the brain, lungs, and liver are each divided into rounded lobes.<br>🔊 lobe rhymes with globe — just globe without the g<br>📖 a soft, rounded bulge — your earlobe is a tiny globe of skin<br>🎭 A soft globe under your ear.
lobotomy	<b>say:</b> luh-BOT-uh-mee /ləˈbɑtəmi/<br><b>def:</b> An old brain operation that cut the connections in the front of the brain (the frontal lobe). Once used to try to calm severely disturbed patients, it often left them dull and emotionless — now seen as a terrible mistake. Also used loosely: “like a lobotomy” = left blank and switched-off.<br>🔊 hides BOTTOM — lo-BOT-omy — a perfect /bɑtəm/ match (same trick as phle-BOT-omy); and it rhymes with phlebotomy — just drop the f.<br>📖 cutting the brain’s LOBE (lobo-) until the mind is scraped down to the bottom, blank and empty<br>🎭 Cutting the brain’s LOBe down to BOTtom meat.
congenital	<b>say:</b> kun-JEN-ih-tul /kənˈdʒɛnətəl/<br><b>def:</b> Present from birth — a condition you’re born with, not something you catch or develop later. Usually written in your genes and there from day one.<br>🔊 con-GEN-ital carries “gen”, like genes<br>📖 it comes from your genes — present from birth, not caught later<br>🎭 Comes from genes, told at birth.
polymerize	<b>say:</b> puh-LIM-uh-rize /ˈpɑlɪmərˌaɪz/<br><b>def:</b> To join many small identical units into one long chain. In sickle cell, deoxygenated haemoglobin (HbS) molecules polymerize — they stack into long stiff rods that bend the red cell into a sickle.<br>🔊 “polymerize” = polish + more + eyes<br>📖 many small units link up into one long chain<br>🎭 Polish more drops, chain together from your eyes.
hydrophobic	<b>say:</b> hy-druh-FOH-bik /ˌhaɪdrəˈfoʊbɪk/<br><b>def:</b> Water-repelling — a surface or patch that avoids and won’t mix with water, so it pushes water away and seeks other oily/hydrophobic patches instead. That’s why the sticky valine patch on deoxygenated HbS latches onto its neighbour.<br>🔊 “hydro” = water (like hydrant); “-phobic” = fearing (like phobia)<br>📖 water-fearing → repels water, sticks to other oily patches<br>🎭 A hydrant's water-phobic — that's me!<br>🎭 pertaining to fear of water
paucity	<b>say:</b> PAW-sih-tee /ˈpɔsəˌti/<br><b>def:</b> A very small amount — a shortage or lack of something. A slightly formal word for "not nearly enough" (a paucity of evidence, a paucity of jobs).<br>🔊 "Pause" + "city" → PAW-city = paucity<br>📖 the water is paused — only a trickle escapes, never enough<br>🎭 The dog's paw scrapes the city's dry well, water lacking.
tacrolimus	<b>say:</b> tak-roh-LY-mus /ˌtækroʊˈlaɪməs/<br><b>def:</b> A medicine that calms down the immune system on purpose, so the body won't attack (reject) a transplant. Given as a drip (IV) at first, then usually switched to a pill (oral).<br>🔊 four beats rebuild the whole word: tackle · row · lime · us (tac-ro-lime-us) → /ˌtækroʊˈlaɪməs/<br>📖 the drug tackles a row of immune guards, then "limes" the new organ green (camouflage) so it slips past unseen<br>🎭 The drug tackles a row of immune guards, then limes us a green light.
tackle	<b>say:</b> TACK-ul /ˈtækəl/<br><b>def:</b> To grab something head-on and bring it down; or to take on a hard job with full effort (tackle a runner; tackle a problem).<br>🔊 "tackle" starts like tax (TAX ≈ TACK-)<br>📖 grab the big one and bring him down — that's a tackle<br>🎭 Tax officer grabs the rich guy and brings him down.
allogeneic	<b>say:</b> al-oh-je-NAY-ik /ˌæloʊdʒəˈneɪɪk/<br><b>def:</b> Coming from a different person — a donor, not your own body. In an allogeneic transplant the cells or organ come from someone else. (Opposite: autologous — from your own body.)<br>🔊 Aloe · gel · nay · nick rebuilds a-lo-ge-NAY-ic (allo- is exactly aloe /æloʊ/)<br>📖 a donor's nick — a small graft taken from another person, not your own body<br>🎭 Aloe gel? Nay, a donor's nick.
donor	<b>say:</b> DOH-ner /ˈdoʊnər/<br><b>def:</b> Someone who gives something away to help another — blood, an organ, money, time. In a transplant, the person the new organ or cells come from.<br>🔊 donor = "d" + owner (owner rhymes exactly and hides inside it)<br>📖 an owner who has died signs his kidney over to someone else — that's a donor<br>🎭 The dead owner donated his kidney.
aloe	<b>say:</b> AL-oh /ˈæloʊ/<br><b>def:</b> A plant with thick, spiky green leaves full of clear gel. The gel is rubbed on skin to cool and soothe burns and sunburn (aloe vera).<br>🔊 "shall" /ʃæl/ echoes the AL- front of aloe (rhymes with pal, gal, shallow)<br>📖 a spiky green plant whose cool gel soothes a burn<br>🎭 Shall I cut the low plant for gel?
nay	<b>say:</b> NAY /ˈneɪ/<br><b>def:</b> An old-fashioned or formal word for "no" — heard in votes ("the nays have it") and older English. It sounds exactly like "neigh," the noise a horse makes.<br>🔊 homophone of "neigh" (a horse's sound); rhymes with day<br>📖 an old word for "no" — a "nay" vote is a vote against<br>🎭 A native says "nay" for no.
transplants	<b>say:</b> trans-PLANTS /trænsˈplænts/<br><b>def:</b> A transplant moves something living from one place into another — most often an organ (heart, kidney, marrow) taken from a donor and placed into a patient who needs it. Can also mean moving a plant to new soil. Either way: lift it from here, settle it there.<br>🔊 "transplants" literally ends in plants — trans + plants<br>📖 trans- = across; you move a living plant (or organ) across, into a new home<br>🎭 Transfer the plant alive!
phobic	<b>say:</b> FOH-bik /ˈfoʊbɪk/<br><b>def:</b> Intensely afraid of or unable to stand something, enough to actively avoid it; also a suffix meaning "fearing ___" (hydrophobic, claustrophobic).<br>🔊 "phobic" starts exactly like foe (/foʊ/) + "bic"<br>📖 if you're phobic about something, you treat it like a foe — an enemy to avoid<br>🎭 A terrible photo gets big and thick in your brain.
hydrant	<b>say:</b> HY-drunt /ˈhaɪdɹənt/<br><b>def:</b> the red pipe on a street corner that firefighters connect a hose to for water during a fire<br>🔊 "hydrant" rhymes with "front" (-drant / -front)<br>📖 a hydrant is the red pipe on the corner that gives firefighters water<br>🎭 A high-speed car drives front into a hydrant.
optimal	<b>say:</b> OP-tih-mul /ˈɑptəməɫ/<br><b>def:</b> the best possible choice given the situation — not just good, but the single best option once every limit and trade-off is factored in.<br>🔊 optimal starts with opt — same sound, dead-on, /ɑpt/.<br>📖 you opt (choose) the optimal thing when it beats every other option on the table.<br>🎭 Select the Option — not the minimal, not the maximal, but the optimal balance — of all.
regime	<b>say:</b> ray-ZHEEM /ɹeɪˈʒim/<br><b>def:</b> The system or plan in charge of running something — most often a government in power, but also used for a structured treatment plan (e.g. "immunosuppression regime" = the set of drugs/schedule used to suppress the immune system).<br>🔊 "regime" starts with ray and ends rhyming with team<br>📖 picture a team that seized control and now calls all the shots — that's the ruling regime (or, medically, the plan a treatment team follows)<br>🎭 Take an X-ray before any plan of the treatment team.
undergone	<b>say:</b> un-der-GONE /ˌəndɝˈɡɔn/<br><b>def:</b> To go through something, usually a difficult, long, or big experience, from start to finish.<br>🔊 "undergone" splits exactly into two words you already know — "under" + "gone"<br>📖 to undergo something is to go under it and come out the other side — it's gone through, finished<br>🎭 Under plastic surgery, her small eyes were gone.
inpatient	<b>say:</b> IN-pay-shunt /ˈɪnˌpeɪʃənt/<br><b>def:</b> someone who stays overnight or longer in a hospital to be treated (opposite of outpatient, who visits and goes home same day)<br>🔊 "inpatient" is just "in" + "patient" — no trick needed, it's built from words you already know<br>📖 an inpatient is a patient who stays in the hospital, not just visiting<br>🎭 In hospital, checked in and stayed in — you won't be just a patient.
malignancy	<b>say:</b> muh-LIG-nun-see /məˈlɪɡnənsi/<br><b>def:</b> when something growing in the body — usually a tumor — is dangerous, out of control, and can spread to other parts of the body<br>🔊 "malignancy" is just "malignant" with "-ancy" tacked on the end<br>📖 the "mal-" at the front means bad (like malicious, malfunction) — a malignancy is a bad growth<br>🎭 a machine rigs big ants across the body.
malignant	<b>say:</b> muh-LIG-nuhnt /məˈlɪɡnənt/<br><b>def:</b> cancerous — growing and spreading through the body in an uncontrolled, harmful way<br>🔊 machine (mə) + rig (rhymes with lɪɡ) + ants (~nənt) → machine-RIG-ants<br>📖 malignant cells spread uncontrollably through the body, like ants crawling everywhere<br>🎭 A machine rigs big ants that spread across the body.
limb	<b>say:</b> LIM /lɪm/<br><b>def:</b> an arm or a leg (or a tree branch) — a part of the body that sticks out and lets you move<br>🔊 "limb" opens with the same /lɪm/ sound as "limit"<br>📖 a limb is an arm or a leg — the body parts you stretch at the gym<br>🎭 Limit your arm and leg stretching in the gym.
autologous	<b>say:</b> aw-TAH-luh-gus /ɔːˈtɑːləɡəs/<br><b>def:</b> from your own body, given back to yourself — not from or to someone else<br>🔊 "autologous" breaks into AUTO + LOG + US<br>📖 from yourself, for yourself — a private loop, self to self<br>🎭 Otto logs his own bone marrow, returned only to himself, never to us.
steelman	<b>say:</b> STEEL-mun /ˈstiɫmən/<br><b>def:</b> to state the opposing argument in its strongest, most convincing form before you respond to it — the opposite of a strawman<br>🔊 "steelman" is just "steel" + "man" run together<br>📖 you build the opposing argument out of steel — the toughest, strongest version — instead of flimsy straw<br>🎭 Build a steelman for your opponent, then fight it fair.
dismissal	<b>say:</b> dis-MISS-ul /dɪsˈmɪsəɫ/<br><b>def:</b> waving something off as not worth taking seriously, without really engaging with it<br>🔊 "dismissal" is just "dismiss" with "-al" tacked on the end<br>📖 to dismiss is to wave something off — "not worth my time"<br>🎭 Dismiss silly questions along the way home.
dismiss	<b>say:</b> dis-MISS /dɪsˈmɪs/<br><b>def:</b> to wave something away as not worth your attention, or to send someone away<br>🔊 "dismiss" splits into two familiar words: "dis" + "miss"<br>📖 to dismiss is to wave something off — "not worth my time" — or send someone away<br>🎭 In Disco, the teacher sent Miss home.
marrow	<b>say:</b> MEHR-oh /ˈmɛɹoʊ/<br><b>def:</b> the soft substance packed inside bones, known for making blood cells<br>🔊 marrow rhymes with sparrow (just drop the initial "s")<br>📖 marrow is the soft stuff packed deep inside a bone<br>🎭 More soft sparrows fly through the bone's hole.
myeloma	<b>say:</b> my-uh-LOH-muh /maɪəˈloʊmə/<br><b>def:</b> A cancer of plasma cells that grow out of control in the bone marrow, crowding out healthy blood cells and weakening bone.<br>🔊 myeloma hides "loam" in its middle — my-LOAM-uh<br>📖 bone marrow is like rich loam where blood cells grow; in myeloma, cancer cells take root there and crowd everything else out<br>🎭 My rich loam boosts the weed cells and brings more sparrows (marrow).
plasma	<b>say:</b> PLAZ-muh /ˈplæzmə/<br><b>def:</b> the pale yellow liquid part of blood that carries blood cells, nutrients, and proteins around the body<br>🔊 "plasma" is just "plaza" with an extra "m" tucked on the end<br>📖 picture a town plaza flooded with pale yellow liquid — that flood is what carries the blood cells across<br>🎭 Pale yellow water floods the plaza with blood cells.
loam	<b>say:</b> LOHM /ˈɫoʊm/<br><b>def:</b> soft, dark, rich soil that's great for growing plants<br>🔊 "loam" rhymes with "home"<br>📖 loam is the soil where roots feel most comfortable — rich, soft, welcoming<br>🎭 Lots of soft, dark soil in my homeland.
sparrow	<b>say:</b> SPEH-roh /ˈspɛɹoʊ/<br><b>def:</b> a small, plain, common brown bird<br>🔊 sparrow splits into spare + row<br>📖 a small, plain, everywhere-bird — nothing showy about it<br>🎭 On a spare row of chairs, a small brown bird lands.
spare	<b>say:</b> SPAIR /spɛɹ/<br><b>def:</b> extra, kept unused just in case<br>🔊 spare rhymes with chair<br>📖 extra, sitting there unused, just in case<br>🎭 I set up another chair aside, just in case.
corpus	<b>say:</b> KOR-pəs /ˈkɔɹpəs/<br><b>def:</b> a large body/collection of text or writing gathered together for study or search<br>🔊 "corpus" splits into "cor-" (echoed by "Four" — same -or sound) and "-pus" (echoed by "purple bus" — near-rhyme like "campus")<br>📖 a corpus is a huge body of text you can search — like a king ruling over mountains of text<br>🎭 The King of Four, handling mountains of text in a purple bus.
pate	<b>say:</b> PAYT /peɪt/<br><b>def:</b> the top of someone's head, especially when bald — often used humorously<br>🔊 pate rhymes exactly with plate<br>📖 your pate is the top of your head — the "plate" up top<br>🎭 He balanced a plate on his bald pate.
anticipate	<b>say:</b> an-TIS-uh-payt /ænˈtɪsəˌpeɪt/<br><b>def:</b> to expect something before it happens, and often get ready for it early<br>🔊 anticipate starts with ANT and ends with a sound just like EIGHT (an-tis-uh-PATE)<br>📖 to anticipate is to sense something coming before it happens, and get ready early<br>🎭 Ant Issa hid under the old man's hair near the pate, to prepare for the storm.
coda	<b>say:</b> KOH-duh /ˈkoʊdə/<br><b>def:</b> The final part that wraps things up - the closing section that comes after the main action is basically done.<br>🔊 coda rhymes almost perfectly with soda<br>📖 the coda is like the last, fizzy sip of soda after the meal is done - small, but it's the part that finishes things off<br>🎭 The storyteller closes his story, and drinks soda.
durable	<b>say:</b> DUR-uh-bul /ˈdʊɹəbəɫ/<br><b>def:</b> built to last — can take a lot of wear, damage, or time without breaking or wearing out<br>🔊 🔊 "during" and "table" bookend durable's sound (dur- ... -able)<br>📖 📖 staying good for decades = durable<br>🎭 🎭 During decades, the table stayed good.
lymphoma	<b>say:</b> lim-FOH-muh /ɫɪmˈfoʊmə/<br><b>def:</b> a cancer that starts in the lymphatic system, usually showing up as a painless swollen lump (often in the neck, armpit, or groin)<br>🔊 lymphoma opens with "limb" and closes like the middle of "foam" — limb + foam-uh<br>📖 lymphoma shows up as a soft, foam-like lump swelling up near a limb (armpit, neck, groin)<br>🎭 Lymph has cancer like beer has foam.
foam	<b>say:</b> FOHM /foʊm/<br><b>def:</b> a mass of tiny bubbles, usually made when air gets mixed into a liquid<br>🔊 "foam" rhymes exactly with "home"<br>📖 foam is a puffy layer of tiny bubbles sitting on top of a liquid<br>🎭 The beer foam stuck near his mouth.
lymph	<b>say:</b> LIMF /ˈɫɪmf/<br><b>def:</b> the clear, watery fluid that drains through your body's lymphatic system, carrying away waste and germs before it rejoins your bloodstream<br>🔊 lymph rhymes with nymph — or say "limb" then "flow" fast and it blends into "lymph flow"<br>📖 the clear fluid your body quietly drains through its inner rivers<br>🎭 In your limb, clean water flows through the drain.
lump	<b>say:</b> LUMP /lʌmp/<br><b>def:</b> a small solid mass or lopsided bump — a chunk of something without a smooth, regular shape<br>🔊 lump rhymes exactly with bump<br>📖 a bump on your head is a lump — a hard little mass sticking out<br>🎭 He bumped his head, thus a lump.
swollen	<b>say:</b> SWOH-lun /ˈswoʊlən/<br><b>def:</b> puffed up bigger than normal, usually from fluid, blood, or air building up under the skin<br>🔊 swollen rhymes exactly with stolen<br>📖 swollen means puffed up bigger than normal, like something got pumped in underneath the skin<br>🎭 His ankle swelled up so much it looked like his real shoe size got stolen and doubled.
swell	<b>say:</b> SWEL /ˈswɛɫ/<br><b>def:</b> to get bigger, usually because something is filling it up from the inside, like air, water, or fluid<br>🔊 "swell" is just "well" with an "s" in front — and "well" is even hiding right inside it<br>📖 something fills up from inside and gets bigger, like water rising<br>🎭 So fast the well filled up, then water swelled over the top.
infusion	<b>say:</b> in-FYOO-zhun /ɪnˈfjuːʒən/<br><b>def:</b> A slow, continuous delivery of a liquid into the body — usually medicine or fluids dripped in through a vein (IV infusion). More generally, the act of a liquid steadily merging in, like tea steeping in hot water.<br>🔊 "infusion" = "in" + fusion — say "fusion" (like nuclear fusion) and put "in" in front.<br>📖 Picture medicine slowly fusing into your bloodstream through an IV drip — an infusion is a liquid going in and merging with your body.<br>🎭 In the tea cup, water fuses slowly with the leaves.
droplet	<b>say:</b> DRAHP-lit /ˈdɹɑpɫət/<br><b>def:</b> a tiny drop of liquid, smaller and lighter than a regular drop<br>🔊 droplet = drop + the little-thing ending -let<br>📖 a droplet is a drop shrunk down — small enough to float in the air<br>🎭 A drop crashes into many tiny droplets.
embellishment	<b>say:</b> em-BEL-ish-ment /ɛmˈbɛɫɪʃmənt/<br><b>def:</b> An extra decorative detail added to make something sound fancier, more exciting, or more impressive than the plain truth.<br>🔊 embellishment rings right in the middle with bell, and its tail rhymes exactly with English (like relish, polish)<br>📖 embellishment is the opposite of plain English — dressing up your words instead of just saying them plainly<br>🎭 Don't speak empty words with bells, with plain English.
stack	<b>say:</b> STAK /stæk/<br><b>def:</b> A stack is a pile of things placed directly on top of each other — like books, plates, or boxes. It can also mean a group of things treated as one unit, such as a stack of paperwork or, in computing, a stack of stored data.<br>🔊 "stack" rhymes with "attack" — the stressed "-tack" sound is identical, just add an s in front.<br>📖 A stack is things piled straight up on top of each other — a stack of pancakes, boxes, or papers.<br>🎭 She attacks the monster with a stack of books.
formation	<b>say:</b> for-MAY-shun /fɔɹˈmeɪʃən/<br><b>def:</b> Formation is the process of something being built up gradually, in layers or stages, rather than assembled all at once. Rock formations build up over centuries; a skill or habit forms the same way, through repeated practice, until it can hold up on its own.<br>🔊 "formation" starts with the familiar word "form" and ends with the "-ation" you already know from "information" and "foundation."<br>📖 you don't form something in one strike — you shape it stroke by stroke, practice by practice, until the shape holds on its own without support.<br>🎭 Form your foundation skill slowly - like rock formations, built up over centuries, layer by layer.
agog	<b>say:</b> uh-GOG /əˈɡɑɡ/<br><b>def:</b> Full of eager anticipation or excitement — so keyed up to see or know something that your eyes go wide and you lean in, unable to wait for what happens next.<br>🔊 "agog" opens with the same soft schwa "uh" as ago — but then lands hard on -GOG, rhyming with hog and jog, not the long "oh" of ago's ending: say uh-GOG, not uh-GO.<br>📖 To be agog is to be so eager and excited that you're all keyed up — eyes wide, leaning forward, hanging on what happens next.<br>🎭 Uh, goggles fogging, I press close, eager to see.<br>📚 Note: unrelated Greek root <i>agog-</i> "leading, guiding" (from <i>agein</i>, "to lead") spells identically by coincidence — seen in pedagogical, pedagogy, demagogue, synagogue.
extraneous	<b>say:</b> ek-STRAY-nee-us /ɛkˈstɹeɪniəs/<br><b>def:</b> Something that doesn't belong — extra information, detail, or stuff that isn't actually needed or related to the topic at hand.<br>🔊 extraneous opens with "ex," its stressed beat is STRAY (exact match), and it ends rhyming with spontaneous — ek-STRAY-nee-us.<br>📖 a stray cat doesn't belong to the house it wandered into — extraneous details are strays that wandered into your report and don't belong to the topic (this "stray" image stands in for "unrelated/unnecessary," not literally about animals).<br>🎭 An ex-boyfriend's stray cat crashes the office's spontaneous party — utterly extraneous, nobody invited it.
residue	<b>say:</b> REZ-uh-doo /ˈɹɛzəˌdu/<br><b>def:</b> The small amount of something left over after most of it is gone, used up, or evaporated — the leftover trace that stays behind.<br>🔊 "residue" opens exactly like resin (REZ) and closes exactly like ado (uh-doo)<br>📖 residue is the sticky leftover bit that clings on after everything else is gone — like resin stuck to the bottom of a pan<br>🎭 Scrubbing the sticky resin off the pan caused such ado — the gooey residue just wouldn't budge.
compete	<b>say:</b> kuhm-PEET /kəmˈpit/<br><b>def:</b> To compete means to try to win against other people at the same thing — a race, a game, a job, a contest. You and someone else both want the same prize, so you go all out to come out ahead.<br>🔊 The stressed half of "compete" is exactly the name Pete — kuhm-PEET; the first syllable is just a quick, unstressed "kuh" (not the vowel in "come").<br>📖 When you compete, you and someone else both race for the same prize.<br>🎭 Pete lined up at the start line, ready to compete for the gold medal.
